id,cells,symmetries,parents,children,result,level
0,"['E', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",[],[],"[1, 2, 3]",False,0
1,"['X', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'E']","['rotational', 'reflectional']",[0],"[4, 5, 6, 7, 8]",False,1
2,"['E', 'X', 'E', 'E', 'E', 'E', 'E', 'E', 'E']","['rotational', 'reflectional']",[0],"[9, 10, 11, 12, 13]",False,1
3,"['E', 'E', 'E', 'E', 'X', 'E', 'E', 'E', 'E']",[],[0],"[14, 15]",False,1
4,"['X', 'O', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",['reflectional'],[1],"[16, 17, 18, 19, 20, 21, 22]",False,2
5,"['X', 'E', 'O', 'E', 'E', 'E', 'E', 'E', 'E']",['reflectional'],[1],"[23, 24, 25, 26, 27, 28, 29]",False,2
6,"['X', 'E', 'E', 'E', 'O', 'E', 'E', 'E', 'E']",[],[1],"[30, 31, 32, 33]",False,2
7,"['X', 'E', 'E', 'E', 'E', 'O', 'E', 'E', 'E']",['reflectional'],[1],"[34, 20, 35, 36, 37, 38, 22]",False,2
8,"['X', 'E', 'E', 'E', 'E', 'E', 'E', 'E', 'O']",[],[1],"[39, 27, 40, 41]",False,2
9,"['O', 'X', 'E', 'E', 'E', 'E', 'E', 'E', 'E']",['reflectional'],[2],"[23, 42, 43, 44, 26, 45, 41]",False,2
10,"['E', 'X', 'E', 'O', 'E', 'E', 'E', 'E', 'E']",['reflectional'],[2],"[17, 34, 46, 47, 19, 48, 38]",False,2
11,"['E', 'X', 'E', 'E', 'O', 'E', 'E', 'E', 'E']",[],[2],"[30, 49, 32, 50]",False,2
12,"['E', 'X', 'E', 'E', 'E', 'E', 'O', 'E', 'E']",['reflectional'],[2],"[24, 39, 44, 51, 52, 45, 28]",False,2
13,"['E', 'X', 'E', 'E', 'E', 'E', 'E', 'O', 'E']",[],[2],"[35, 47, 53, 21]",False,2
14,"['O', 'E', 'E', 'E', 'X', 'E', 'E', 'E', 'E']","['rotational', 'reflectional']",[3],"[43, 25, 51, 40]",False,2
15,"['E', 'O', 'E', 'E', 'X', 'E', 'E', 'E', 'E']","['rotational', 'reflectional']",[3],"[18, 46, 36, 53]",False,2
16,"['X', 'O', 'X', 'E', 'E', 'E', 'E', 'E', 'E']",[],[4],"[54, 55, 56, 57]",False,3
17,"['X', 'O', 'E', 'X', 'E', 'E', 'E', 'E', 'E']",['reflectional'],"[4, 10]","[58, 59, 60, 61, 62, 63]",False,3
18,"['X', 'O', 'E', 'E', 'X', 'E', 'E', 'E', 'E']","['duplicate', 'reflectional']","[4, 15]","[64, 65, 66, 67, 68, 69]",False,3
19,"['X', 'O', 'E', 'E', 'E', 'X', 'E', 'E', 'E']",['rotational'],"[4, 10]","[70, 71, 72, 73, 74, 75]",False,3
20,"['X', 'O', 'E', 'E', 'E', 'E', 'X', 'E', 'E']",['rotational'],"[4, 7]","[76, 54, 77, 78, 79, 80]",False,3
